id,english,commonness,mirad,roundtrip_english,semantic_similarity
13583317,Will he not give it to you?,6.7000,Duven wit vom ujo has bu et?,Will he not send it to you?,0.837952
11742098,"As for me, no!",6.6525,"Av at, vo!",No way!,0.733653
3905955,How could you do that to him?,6.5971,Hoyen et yafu xer hus bu it?,How could you do that to him?,1.000000
11948852,Will you do it again?,6.4860,Duven et xo hus gajod?,Will you do that thing again?,0.953092
11679900,I get up at 6.00 a.m.,6.4567,At ape bi yawa jwob bi maj.,I come at six in the morning.,0.897958
1357388,Will you go there?,6.4425,Duven et po hum?,Will you go there?,1.000000
5774154,That should be enough for now.,6.4200,Huas yeyfe greser av hij.,that should be enough for now,0.966234
6259929,Will you please do that again?,6.3583,Diwe xu hus gajod.,please do that again,0.899045
3741079,What have we done to each other?,6.3557,Duhos yat xa bu hyuit?,What did we do to each other?,0.913093
5756695,Who should get one?,6.2700,Duhot yuyve ber awa?,Who ought to pose one?,0.675679
7735831,You should go and see for yourselves.,6.1971,Yet yeyfu per ay teater av yeut.,You should go and see for yourselves.,1.000000
1894227,How good are you?,6.1200,Hoyen se et fia?,How are you?,0.787895
5745289,Do good wherever you can.,6.1200,Xu fi hyem et yafe.,Do good wherever you can.,1.000000
9210714,I know who's behind this.,6.1000,At te hot be zom bi his.,i know who is behind this,0.962162
2407736,I think I can do it.,6.0800,At texe van at yafe xer has.,I think that I can do it.,0.998450
2543920,We have everything we want.,6.0400,Yat baye hyas yat fe.,We have everything we want.,1.000000
7443059,They know they need to do that.,6.0350,Yit te van yit efe xer hus.,They know that they have to do that thing.,0.944222
7772536,I go.,6.0300,At pe.,I go.,1.000000
2967884,I think I need both of these.,6.0250,At texe at efe hyaewa bi hisi.,I think I need both of these things.,0.981180
2645067,I never said that to you.,6.0100,At hyoj da hus bu et.,I never said that to you.,1.000000
7399972,She said she got out of the way.,5.9767,Iyt da van iyt oyepa oyeb bi ha mep.,She said that she got off the road.,0.731020
3635536,"If you need me, call.",5.9700,"Ven et efe at, dyu.","If you need me, call.",1.000000
69363,Are you through with your work?,5.9600,Et se uja bay eta yex?,Are you done with your work?,0.950998
625872,I did not do it.,5.9600,At voy xa hus.,I did not do that.,0.974510
2796288,"Did you get that? ""No, not at all.""",5.9600,"Duven et bier hus? ""Vo, hyoyen.""","""Do you take that thing?"" ""No, in no way whatever.""",0.682173
2547306,I'd still like to try.,5.9550,At fu gaj yeker.,I would like to try again.,0.837492
3825462,I did nothing all day.,5.9550,At xa hyos hya jub.,I did nothing all day.,1.000000
4679357,I want to get better.,5.9000,At fe ga fiaser.,I want to become better.,0.952566
278725,Come on in and make yourself at home.,5.8900,Upu yeb ay xeu eut be tam.,Come in and behave yourself at home.,0.765935
271727,This is life!,5.8900,His se tej!,This is life!,1.000000
5405076,I always say that.,5.8900,At hyaj de hus.,I always say that.,1.000000
6912981,Do you want me to tell you what I think you should do with it?,5.8833,Duven et fe der at et hos at texe van et yeyfe xer bay has?,Do you want to tell me what I think that you should do with it?,0.983502
2372820,I just need some rest.,5.8767,At efe haway gle pon.,I just need a rest.,0.987736
2230657,"Over time, he got used to the new environment.",5.8240,"Jobkay, it yuktosba ha ejna yuzmir.","Eventually, he felt comfortable in the new environment.",0.872579
1107857,Fight like a man!,5.8200,Ebyexu gel twob.,Fight like a man.,0.983167
2548897,You would love it.,5.8200,Et ifu has.,You would love it.,1.000000
914025,What does he say?,5.8150,Duhos it de?,What does he say?,1.000000
3330662,I'm not the same man I used to be.,5.8100,At voy se ha hyia twob ho at bea.,I am not the same man I saw.,0.859465
8292599,I think that I can do that if I try.,5.7900,At texer van at yafe xer hus ven at yeke.,I think that I can do that if I try.,1.000000
10585962,I like the way you dance.,5.7833,At ifle hayen et daze.,I love the way thee dances.,0.905748
296184,He is to come here at five.,5.7800,Wit upo him be yo jwob.,He will come here at 5 o'clock.,0.962641
9493902,Which is hers?,5.7800,Duhas se iytas?,What is hers?,0.795833
8324505,Do you think I'm not trying?,5.7750,Duven et texe van at voy yeke?,Do you think that I am not trying?,0.994730
10516837,It's high time I left the office.,5.7650,Se yaba job van at pia ha yexim.,It is high time that I left the workroom.,0.925961
5136469,Looks like its gonna be a long old day.,5.7617,Tease van his so yaga ajna jub.,It seems that this will be a long past day.,0.863117
2026858,All I want is someone special in my life.,5.7567,Hyas at fe se heawat yonsauna bi ata tej.,all I want is a particular person in my life,0.862900
6248961,You're the only person who did that.,5.7550,Et se ha ana aot ho xa hus.,You are the only person who did that.,0.998161
7406308,They know they have a choice to make.,5.7533,Yit te van yit bayse kebiun xer.,They know that they have a choice to do.,0.961558
5178612,Let's say no more about it.,5.7450,Van hyos gaj be syin bi hus.,Let nothing more be on the matter of that thing.,0.725743
5213901,I want you to make a decision.,5.7367,At fe van et xu kyod.,I want you to make a decision.,1.000000
3201021,Are you ever going to tell me?,5.7350,Duven et hyej do at?,do you ever say to me,0.717625
6246367,I wish I'd had enough time to do that.,5.7350,At ojfe van at baysayu gre job xer hus.,I hope that I will have enough time to do that thing.,0.762452
7137701,I think that Tom has done that at least one time.,5.7333,At tex van Tom xa hus gwoay awa job.,I think Tom did that at least once.,0.982647
7521236,I know you're a good coach.,5.7267,At ter van et se fia tyenuut.,I know that you are a good professional.,0.662131
252276,I like spring the best.,5.7233,At iyfe jeab gwa fi.,I like spring best.,0.997632
69630,"Which do you like better, music or English?",5.7200,"Duhaas et gaife, duz ey Eniged?","Which do you prefer, music or the English language?",0.955854
869508,That sounds like a good idea.,5.7150,Hus tease gel fia tyun.,That seems like a good idea.,0.978139
12984004,I like this album.,5.7150,At iyfe hia duzirunag.,I like this musical album.,0.914580
264336,Can you come at ten on May second?,5.7050,Et afe uper be alo jwobi be jiab ea jubu?,Do you want to come at ten o'clock on January second?,0.726118
6813173,"As long as they were still children, they did not have to care for anything.",5.7000,"Je van yit sa gaj tudi, yit voy yefa biker av hyes.","Even though they were still children, they did not have to care for anything.",0.969430
9414520,Where did Tom go this time?,5.6933,Duhom Tom pa hia job?,Where did Tom go this time?,1.000000
2342358,She's a good-looking girl.,5.6900,Iyt se via toybet.,She is a beautiful gal.,0.833277
2042887,Have you thought about what time of year you want to start your journey?,5.6817,Et texa bi hos joba job et fe ijber eta pop?,What time are you thinking of starting your journey?,0.858818
2267921,That's exactly what I used to think.,5.6767,Hus se vyavay hos at jay texeya.,That is exactly what I previously thought.,0.918003
467303,Could you please tell me why you love her?,5.6750,"Diwe, et yafu du at hosav et ife iyt?","Please, you could tell me why you love her.",0.974175
11188394,You really talk a lot.,5.6667,Et vay gla dale.,you really talk a lot,0.961038
7227581,I don't think that you're doing that the right way.,5.6500,At voy texe van et xe hus ha zia byen.,I do not think you do that the right way.,0.949586
297233,I could not but think that he had died.,5.6400,At voy yafu voy texer van it toja.,I could not help but think that he died.,0.987915
6915527,Your son has been gone for a long time.,5.6375,Eta twud se piya yag job.,Your son has been gone a long time.,0.996990
7966907,I want to rest a while.,5.6350,At fe poyser joyb.,I want to rest a while.,1.000000
3360599,Did you bring it?,5.6150,Duven et yuba has?,Did you bring it?,1.000000
10846611,Why did you bring it here?,5.6150,Duhosav et yuba has him?,Why did you bring it here?,1.000000
31104,"If you will excuse me for a few minutes, I'd like to make a call.",5.5900,"Ven et yovobu at av glo jwabi, at fu xer heyd.","If you excuse me for a few minutes, I would like to do a shout-out.",0.782512
3315122,That's a big job.,5.5850,Hus se aga yexes.,That is a big task.,0.907677
249715,Follow me and I will show you the way.,5.5750,"Joupu at, ay at teatuo et ha mep.","Go ahead, and I will show you the way.",0.898548
7125950,That's something that I'm looking into.,5.5700,Hus se hes ho at teaxe yeb bu has.,That is something that I look into it.,0.966920
10781369,Tom has been a good friend of mine for years.,5.5700,Tom seye fia dat at bi jabi.,Tom is a good friend of mine from years.,0.978494
11451356,I won't be going there any more.,5.5700,At vo pe hum gaj.,I don't go there anymore.,0.921229
3448750,Tom is going to need both our support.,5.5675,Tom efso hyaewa yata bol.,The building will need both our support.,0.586637
4134147,"Sorry, I think I have the wrong number.",5.5675,"Hyoy, at texe at bayse ha vyona sag.","Alas, I think I have the wrong number.",0.931651
10796988,It's been a long time since I've felt this way.,5.5600,Se yaga job ji at toswa huyen.,It has been a long time since I felt that way.,0.978631
12077468,Did Tom say where he found this?,5.5600,Tom da hom it kaxwa his?,Tom said where he found this?,0.971704
3110543,We have no time to waste.,5.5500,Yat voy bayse job bu nyoxer.,We do not have time to waste.,0.985395
6716543,I could try doing that myself.,5.5500,At yafu yeker xer hus at aut.,I could try to do that myself.,0.996411
1731558,It sounds like a fun job.,5.5450,Has seuxe gel ifsona yexun.,It sounds like a fun job.,1.000000
7398221,He told me he'd do that for us.,5.5400,Wit da at van wit xu hus av yat.,he said that he do that for us,0.876491
7440639,They said that they might die.,5.5400,Yit da van yit vey tojo.,They said that they might die.,1.000000
9628489,Do you like it here in Boston?,5.5400,Duven et iyfe his be him be Boston?,Do you like this here in Boston?,0.980801
5800453,Do you think Tom will actually help us?,5.5375,Duven et texe van Tom vay yuxo yat?,Do you think Tom will indeed help us?,0.992785
7937375,Our dog got lost. Will you help us to find him?,5.5375,Yata yepet okwa. Et yuxo yat kaxer it?,Our dog is lost. Will you help us find him?,0.988658
3518538,It's too good a chance to miss.,5.5333,Has se gra fia kyen av opixer.,it's too good a chance to avoid,0.774677
464402,We hope to return next year.,5.5300,Yat ojfe zoyper zajab.,we hope to return next year,0.965526
870510,I'm really happy about your father.,5.5267,At se vay iva av eta twed.,I am indeed happy for your father.,0.969309
7633343,I still go to Australia at least three times a year.,5.5267,At gaj pe bu Ausom gwo ay iwa jodi bi ha jab.,I still go to Australia as few as possible and three times per year.,0.935667
10255261,You need hair.,5.5250,Et efe tayeb.,You need a haircut.,0.813082
11959682,Did you see Tom come in?,5.5233,Et teata Tom yebuper?,Did you see Tom come in?,1.000000
7440183,They said that they were married.,5.5200,Yit da van yit sa taduwa.,They said that they were married.,1.000000
10286249,I just started to learn French.,5.5200,At gwej ijba tiser Ferad.,I always started learning French.,0.850170
5857182,I think I'm starting to understand exactly what real love is.,5.5150,At texe van at ije tester vyavay hos vyama ifon se.,I think that I begin to understand accurately what true love is.,0.945225
8168662,"She can't dance, you know.",5.5150,"Iyt yofe dazer, et te.","She cannot dance, you know.",0.993546
9034922,It probably won't work.,5.5100,Has vley vo exo.,It probably won't work.,1.000000
3202104,You've got to tell me what you want.,5.5100,Et yefe der at hos et fe.,You should tell me what you want.,0.950281
6432812,How much time do you spend on the bus every day?,5.5100,Duhogla job et noxe ab ha yuzpur hyawa jub?,How much time do you spend on the bus each day?,0.997218
6239095,I know Tom probably won't want to do that.,5.5080,At te van Tom vley voy feo xer hus.,I know that Tom probably does not want to do that.,0.985662
10708247,I thought we needed help.,5.5067,At texa van yat efa yux.,I thought that we needed help.,0.998241
7168552,I think that Tom is doing well.,5.5033,At texe van Tom xe fi.,I think that Tom does well.,0.977349
3071522,Their house is near here.,5.5000,Yita tam se yub bi him.,Their house is near here.,1.000000
7910175,"Try it, please.",5.5000,"Yek has, diwe.","Try it, please.",1.000000
8856572,I went out.,5.5000,At pa oyeb.,I went out.,1.000000
2155115,"In this respect, you're right.",5.4950,"Be his texyen, et se zia.","In this opinion, you are right.",0.784408
2981331,"Life is, at best, a sea of problems.",5.4950,"Tej se, bi gwa fia, mim bi yiksoni.","life is, from very good, a sea of difficulties",0.831445
3918761,I think you should choose him.,5.4950,At texe van et yefu kebier it.,I think you should choose him.,1.000000
7888133,Just give me a minute to get changed.,5.4933,Izay bu at awa jwab av kyaxer ota tofi.,Directly to me one hour in order to change one's toffee.,0.598455
240156,Would you please call him back later?,5.4900,Diwe zoydyuer it ga jwo.,please call him back later,0.928033
11808654,"If you want me, I'm ready to follow you.",5.4867,"Ven et fe at, at se jwea jouper et.","If you want me, I am timely to follow you.",0.896144
855612,Do you like golf?,5.4850,Duven et iyfe zyegek?,Do you like golf?,1.000000
1497715,"I'm sorry, but I cannot answer right away.",5.4825,"At se tipuva, oy at yofe duder ig.","I'm sorry, but I cannot answer quickly.",0.924114
440042,You're completely right!,5.4800,Et se ikay vyaa!,You are completely right!,0.984749
12900374,Forget what people say about you; what matters is what you yourself do.,5.4800,Toxu hos yot de vyel et; hos vayase se hos et eut xe.,Forget what people say about you; what appears is what you yourself do.,0.904257
12055761,"Father! ""I..."" ""It's alright. You just rest as much as you want.""",5.4760,Twed! At... Se fi. Et haway poysu ge gla vyel et fe.,Father! I... It's okay. You just rest as much as you want.,0.950313
6874897,"Good call, Tom.",5.4750,"Fia teyd, Tom.","Good mother, Tom.",0.715717
1682334,I cannot finish my work today.,5.4733,At yofe ujber ata yex hijub.,I cannot finish my work today.,1.000000
10727351,I like the shape of the building.,5.4733,At iyfe ha san bi ha tom.,I like the shape of the building.,1.000000
1763801,What do you want to do in Germany?,5.4700,Duhos et fe xer be Deum?,what do you want to do in germany,0.965065
3689920,"Hey, man! What's up?",5.4700,"Hey, tob! Duhos kyeseye?","Hey, man! What's happening?",0.836347
9246421,I wish I'd done better.,5.4700,At ojfe van at xayu ga fiay.,I hope that i would do better.,0.829235
871637,I thought I saw someone there.,5.4650,At texa van at teata heawat be hum.,I thought that I saw someone there.,0.998873
2540477,I'm sorry I can't be of more help.,5.4650,At se tipuva van at yofa ser ga yux.,I am sorry that I cannot be of more help.,0.986380
12040751,Don't you think it's a little too early for that?,5.4650,Von et texe van has se glos gra jwa av hus?,Don't you think that it is a little bit too early for that?,0.996174
24981,I'm sure people would live twice as long if they stopped getting themselves worked up over everything.,5.4600,At se vlatepa van yot teju ewa jodi ga yaga ven yot poxe tipazien ayb hyas.,I am convinced that people live twice as long if they stop getting excited over everything.,0.856268
1121862,Give the money to my son.,5.4600,Bu ha nas bu ata twud.,Give the money to my son.,1.000000
13687856,"One step left, one step right.",5.4600,"Awa tyop zu, awa tyop zi.","one step left, one step right",0.960553
7152743,Our time here in Australia is limited.,5.4567,Yata job him be Ausom se ujnadbwa.,our time here in Australia is limited,0.940574
3408711,Do you think Tom had something to do with this?,5.4550,Et texe ven Tom bexwa hes xer bay his?,Do you think Tom had something to do with this?,1.000000
623139,Was this wall built to keep people out or to keep them in?,5.4533,Hia mas sexwa av bexer tyod oyeb ey av bexer yit yeb?,Was this wall built in order to keep people out or in order to keep them in?,0.992705
3575134,Today we face a lot of serious problems.,5.4500,"Hijub, yat se be zateb bi gla kyisoni.","Today, we are faced with many major problems.",0.957533
3721337,Tom said it was part of the job.,5.4467,Yipwet da has sa gon bi ha yexun.,Yipwet said it was part of the work unit.,0.475177
8881639,"When I came into the room, it was empty.",5.4450,"Hoj at upa yeb bu ha tim, is sa uka.","When I came into the room, it was empty.",1.000000
9945049,Why don't we take our time?,5.4450,Hosav von yat bier yata job?,Why not take our time?,0.953990
7337690,You have to use the right tool.,5.4433,Et yefe yixer ha zia sar.,You must use the right tool.,0.994661
9353861,I know about a shorter way.,5.4433,At te vyel yogmep.,I know a shortcut.,0.786020
9022631,Did you notice any change in the air?,5.4425,Et kyeteata hyea kyas bi ha mal?,Do you notice any change in the sky?,0.825531
6525067,Both Tom and Mary said that they could make it to the party.,5.4380,Hyaewa Tom ay Mary da van yit yafu per bu ha yaniv.,Both Tom and Mary said that they could go to the party.,0.973093
11607876,William has just finished his job.,5.4375,William uja ita yexun hij.,William finished his work now.,0.909154
72091,"Oh, yes, I remember.",5.4367,"Hwuy, va, at taxe.","Ouch, yeah, I remember.",0.833920
6516278,Tom and Mary can stay as long as they like.,5.4320,Tom ay Maria yafe beser hyes yag yit fe.,Tom and Maria can stay however long they want.,0.889276
3045709,That really put me on the spot.,5.4300,Hus vay bwa at ab neym.,That indeed put me on the spot.,0.980621
6270460,Tom had that job for years.,5.4300,Tom bexa hua yexun je jabi.,The building held that job for years.,0.562042
8518906,He's not as young as I am.,5.4300,Wit voy se ge joga vyel at.,He is not as young as me.,0.986143
251563,Can you tell my age?,5.4250,Et yafe der ata jag?,Can you say my age?,0.966014
430440,Was her story true?,5.4250,Duven iyta din sa vyaa?,was her story true,0.957879
2546885,Would you like a bath?,5.4250,Et fu milyep?,Would you like a soak?,0.768397
6493354,Tom and Mary said they thought John might not have to do that this year.,5.4250,Tom ay Mary dwa van yit texwa van John vey voy yefe xer hus hia jab.,Tom and Mary said that they thought that John perhaps should not do that this year.,0.935074
7520612,I know I can fix that for you.,5.4250,At te van at yafe fiaxer hus av et.,I know that I can fix that for you.,0.998038
9800769,I love you. I want to marry you.,5.4200,At ife et. At fe tadier et.,I love you. I want to marry you.,1.000000
12777554,Would you place your trust in her again?,5.4200,Duven et ubwu eta vyatip be iyt gaj?,Will you send your faith in her anymore?,0.728664
7378638,Mary wants to be like her mother.,5.4175,Mary fe ser gel iyta teyd.,Mary wants to be like her mother.,1.000000
313032,She did the work without any difficulty.,5.4167,Iyt xa ha yex boy hyea yikan.,She did the work without any difficulty.,1.000000
1796880,Nobody wants to support my country.,5.4167,Owat fe boler ata doob.,Someone wants to bolster my nation.,0.484127
1975698,I never actually saw it.,5.4150,At hyoj vray teata has.,I never really saw it.,0.983482
12954102,He thought about that for a moment.,5.4150,It texa vyel hus av awa jwap.,He thought about that for a moment.,1.000000
898494,"Just as he was getting the hang of things, they changed all the rules.",5.4117,"Izay je it ijiea tester hyasi, yit kyaxa hya ha vyabyan.","As soon as he began to understand everything, they changed all the rules.",0.866042
13061537,"Between the two of us, he's a little crazy.",5.4100,"Eb aet ewa, it se glos tepuzra.","Just between the two of us, he is a little bit batty.",0.794575
4011872,Do you know where Tom works?,5.4067,Duven et te duham Tom yexe?,do you know where Tom works,0.973357
2541153,Why is there a dog in our house?,5.4050,Duhosav ese yepet bi yata tam?,Why is our dog barking?,0.663966
8609585,There are still 750 000 people who haven't left the city.,5.4025,Ese gaj yeso yoro tobi ho voy pya ha dom.,there are still seven hundred people who have not gone to the city,0.866068
6648823,Tom said that he thought Mary might be required to do that right away.,5.4014,Tom dwa van it texa van Mary afu yefwer xer has ig.,Tom said that he thought that Mary might need to do it quickly.,0.958539
11147172,It's not too much of a problem.,5.4000,Voy se gla yikson.,It's not a major problem.,0.920532
6652174,Tom said that he wanted to do that by himself.,5.4000,Tom da van wit fa xer hus bey iut.,Tom said that he wanted to do that thing by himself.,0.992852
3549709,Are you sure you don't want to stay here and wait with us?,5.3980,Duven et se vlatea van et voy fe beser him ay peser bay yat?,Are you sure that you do not want to stay here and wait with us?,0.989023
703097,Does your head hurt often?,5.3967,Eta teb byoke glaxag?,Does your head hurt often?,1.000000
740702,Two families live in the house.,5.3967,Ewa todi bese bi ha tam.,Two people are staying at home.,0.605262
37294,Tom can do this work alone.,5.3950,Tom yafe xer hia yex anota.,Tom can do this work alone.,1.000000
7494086,Where did Tom put them?,5.3950,Hom Twam bera hasi?,Where does Twam keep things?,0.547886
10319746,It seems Tom will take a year off.,5.3950,Tease van Tom biro awa yivjab.,It seems that Tom will take a year off.,0.998638
8300033,He usually comes to the school late.,5.3900,It eglay upe bu ha tistam jwo.,He or she comes to school exactly late.,0.930201
54200,Everything is ready now for the party.,5.3850,Hyas se jwea hij av ha yaniv.,Everything is timely now for the festival.,0.665723
11939120,I know you're from Boston.,5.3850,At te van et se bi Boston.,I know that you are from Boston.,0.996046
12149144,What do you see as the purpose of your life?,5.3850,Duhos et teate gel ha byuntex bi eta tej?,What do you see as the purpose of your life?,1.000000
941285,I just remembered something.,5.3800,At gwej taxwa hes.,I always remembered something.,0.846895
2258810,I saw them over there a while ago.,5.3800,At yit teata iz be hum be joyb ajay.,We just saw directly at that place for a while recently.,0.707619
7171572,I thought that you might want to play a game of chess.,5.3800,At texwa van et vey fe eker ifek bi xahifek.,I thought that you might want to play a game of chess.,1.000000
7725111,Let's do that at Tom's house.,5.3800,Van yat xe hua bi Toma tam.,Let us do that from Tom's house.,0.953311
3822243,Tom said you were late this morning.,5.3775,Tom da van et sa jwoa hia jwamaj.,Tom said that you were late this morning.,0.999143
9853974,Doing this is the only way we can survive.,5.3767,Hia xen se ha ana byen ho yat yafe yiztejer.,This doing is the only way that we can survive.,0.978741
5894445,I haven't laughed like that in a long time.,5.3760,At voy hihida gel hus be yag job.,I haven't laughed like that in a long time.,1.000000
8257572,I don't know why I even thought you might consider doing that.,5.3760,At voy te hosav van at gey texa van et vey kyitexe Xen hus.,I don't know why I also thought that you might consider doing that.,0.921134
6226101,Tom said it was more difficult to do that than he thought it would be.,5.3750,Tom dwa van has sa ga yika xer hus vyel it texa van has su.,It was said that that was more difficult to do than he thought it would be.,0.811308
6235066,"You don't really have to do that today, do you?",5.3733,"Et voy vay yefe xer hus hijub, va?","You really must not do that today, right?",0.808220
6254312,Tom got almost everything he wanted.,5.3667,Tom bila yubay hyas it fa.,The nearby building had everything he wanted.,0.502904
3734690,Please leave the room.,5.3650,Diwe piu ha tim.,please leave the room,0.949203
7517667,I know that you'll enjoy doing that.,5.3625,At te van et ifio xen hus.,I know you will like doing that.,0.956872
11117950,I don't want people to see me crying.,5.3625,At voy fe yot teater at teabilea.,I don't want anyone to see me crying.,0.985656
8006935,I think Tom won't be at today's meeting.,5.3620,At texe van Tom voy so bi hijuba yanup.,I think Tom won't be at today's meeting.,1.000000
5204254,Tom will look like an idiot.,5.3600,Tom teaso gel hea anyentepat.,The building looks like a certain kind of bird.,0.148469
2274043,You won't believe this.,5.3550,Et voy vatexo hias.,you will not believe this,0.954696
10025941,"Come and see us more often! ""I'll try, but I've got so much to do these days that I just don't get round to it.""",5.3544,"Upu ay teatu yat ga jodi! At yeko, oy at gla xer hia jubi von at byuie hus.","Come and visit us more often! I'll try, but I do so many things these days that I won't get to that.",0.891174
12901529,I'll make every effort to help her.,5.3525,At xo hya yekon av yuxer iyt.,I will do everything to help her.,0.939231
308928,She has no one to wait on her.,5.3500,Iyt ayse hyot yixer iyt.,She has nobody to use her.,0.845924
2044534,We're so happy for you.,5.3500,Yat se gla iva av et.,We are very glad for you.,0.935749
11788146,We don't know any more than you do.,5.3500,Yat voy te ga vyel et te.,We don't know more than you do.,0.969428
6353389,Tom took half of the money.,5.3475,Tom bila eyn bi ha nas.,The building is a lactic half of the money.,0.523294
